image,actual_elephants,notes
elephant_01.jpg,2,Two clearly visible elephants
elephant_02.jpg,1,One clearly visible elephant
elephant_03.jpg,3,Three elephants; one difficult/partially visible
elephant_04.jpg,9,Nine elephants; several partially/mostly occluded
elephant_05.jpg,1,One elephant
elephant_06.jpg,1,One elephant
elephant_07.jpg,1,One elephant
elephant_08.jpg,3,Two clearly visible and one partially visible
elephant_09.jpg,1,One elephant
elephant_10.jpg,2,Two elephants
elephant_11.jpg,2,Two elephants
elephant_12.jpg,5,Four clearly visible and one partially visible
elephant_13.jpg,2,Night vision CCTV; two elephants, difficult visibility
elephant_14.jpg,9,Nine elephants; several partially visible
elephant_15.jpg,1,One elephant
elephant_16.jpg,1,One elephant
elephant_17.jpg,4,Four elephants; YOLO detected all four
elephant_18.jpg,8,Eight elephants; most partially visible
elephant_19.jpg,1,One elephant
elephant_20.jpg,1,Animated outline image; one elephant among other animals
